student_id,screen_time_log,trigger_event,emotion_journal,app_category_usage,parent_warning_ignored,used_focus_mode,screen_breaks_taken,reward_unlocked
5a5e52d9-0243-4360-b31b-2f70e5dc146a,"[57, 10, 5, 45, 30, 39, 26, 42, 58, 38, 44, 5, 50, 49, 14, 59, 6, 23, 25, 7, 50, 36, 37, 60, 36, 50, 8, 25, 56, 28, 60, 30, 8, 49, 13, 24, 29, 28, 2, 58, 25, 26, 12, 6, 9, 58, 31, 45, 44, 24, 2, 43, 29, 44, 56, 40, 17, 35, 22, 24, 41, 38, 42, 0, 22, 16, 43, 6, 10, 56, 30, 7, 1, 4, 10, 33, 22, 41, 38, 3, 40, 57, 34, 13, 36, 59, 18, 53, 39, 8, 7, 56, 48, 28, 18, 19, 47, 22, 5, 22, 37, 36, 43, 48, 2, 59, 0, 18, 22, 34, 23, 47, 55, 1, 24, 15, 55, 20, 12, 59, 40, 9, 15, 8, 43, 36, 21, 50, 51, 42, 34, 5, 27, 4, 16, 34, 57, 35, 15, 42, 44, 44, 17, 46, 16, 7, 32, 32, 48, 1, 11, 59, 19, 36, 26, 40, 16, 24, 40, 20, 28, 13, 20, 8, 8, 50, 57, 43]",Parental warning,Angry at my sibling.,"{'Entertainment': 94, 'Education': 92, 'Social Media': 159, 'Others': 53}",False,False,4,False
5ceffa84-11dd-444e-a02d-7f57c8635330,"[11, 55, 44, 36, 21, 18, 46, 21, 52, 46, 6, 5, 1, 53, 53, 27, 52, 24, 1, 45, 14, 22, 25, 55, 6, 24, 15, 20, 43, 19, 35, 48, 0, 48, 5, 27, 45, 46, 50, 19, 30, 38, 30, 50, 50, 42, 29, 54, 15, 8, 35, 38, 11, 22, 60, 25, 53, 40, 4, 15, 12, 20, 4, 39, 5, 34, 23, 50, 50, 16, 7, 22, 55, 18, 0, 9, 39, 1, 31, 46, 1, 57, 47, 33, 54, 9, 57, 42, 17, 12, 22, 34, 41, 26, 43, 28, 44, 35, 33, 38, 38, 10, 51, 7, 31, 7, 31, 48, 11, 58, 47, 48, 43, 23, 0, 16, 10, 39, 43, 40, 59, 8, 1, 54, 45, 15, 59, 34, 56, 38, 41, 35, 35, 19, 10, 48, 31, 35, 5, 51, 9, 49, 54, 13, 5, 46, 12, 14, 18, 3, 50, 54, 32, 5, 7, 55, 14, 59, 18, 49, 0, 55, 51, 34, 30, 10, 40, 57]",Parental warning,Excited for the weekend.,"{'Entertainment': 149, 'Education': 170, 'Social Media': 32, 'Others': 116}",False,True,3,True
eaf9bca9-355d-40ac-bf41-94fc06effacb,"[12, 48, 42, 7, 8, 45, 0, 38, 36, 23, 57, 36, 60, 48, 25, 37, 32, 38, 41, 4, 44, 26, 5, 38, 25, 30, 32, 1, 29, 6, 29, 23, 7, 43, 38, 38, 57, 31, 14, 33, 57, 23, 0, 16, 58, 36, 56, 40, 14, 41, 31, 22, 44, 21, 16, 59, 9, 27, 43, 49, 27, 0, 32, 3, 27, 37, 30, 42, 3, 10, 12, 36, 7, 48, 39, 51, 12, 34, 11, 59, 13, 15, 59, 53, 7, 15, 39, 50, 56, 6, 12, 15, 5, 0, 0, 5, 47, 45, 11, 18, 31, 42, 47, 52, 31, 39, 60, 53, 34, 4, 24, 25, 32, 46, 56, 24, 52, 11, 57, 50, 14, 17, 41, 51, 25, 35, 26, 36, 7, 33, 14, 24, 52, 35, 43, 43, 39, 7, 3, 17, 48, 44, 31, 40, 44, 22, 19, 54, 7, 45, 57, 35, 13, 46, 58, 7, 0, 18, 15, 21, 29, 38, 44, 51, 57, 40, 43, 12]",None,I am happy today!,"{'Entertainment': 131, 'Education': 49, 'Social Media': 99, 'Others': 126}",True,True,2,True
597e6e51-d2f8-4d37-a770-81f77ddd649c,"[12, 16, 20, 17, 34, 43, 19, 21, 32, 6, 57, 0, 49, 35, 32, 60, 31, 21, 8, 27, 54, 7, 40, 36, 36, 23, 18, 26, 56, 11, 52, 7, 25, 42, 6, 30, 17, 22, 6, 18, 38, 33, 58, 57, 5, 23, 16, 55, 33, 43, 4, 40, 25, 44, 43, 48, 21, 57, 49, 58, 9, 51, 8, 17, 19, 53, 58, 43, 47, 50, 0, 40, 45, 9, 41, 22, 48, 34, 22, 58, 33, 31, 48, 48, 35, 20, 22, 57, 22, 0, 27, 16, 36, 45, 50, 35, 20, 57, 9, 39, 29, 21, 46, 16, 15, 30, 52, 18, 45, 47, 2, 50, 1, 25, 57, 16, 60, 57, 36, 52, 16, 59, 17, 59, 25, 33, 26, 50, 57, 27, 2, 46, 44, 59, 43, 42, 36, 9, 35, 48, 1, 15, 3, 12, 53, 56, 4, 43, 56, 8, 48, 57, 27, 12, 4, 27, 42, 39, 59, 33, 48, 60, 31, 27, 28, 5, 11, 17]",None,I'm bored and don't know what to do.,"{'Entertainment': 105, 'Education': 178, 'Social Media': 135, 'Others': 73}",True,False,3,False
c8493b5b-308e-47df-8f93-25b2a50c465d,"[21, 27, 15, 40, 45, 20, 10, 39, 40, 10, 13, 8, 36, 4, 30, 51, 29, 9, 25, 1, 0, 46, 7, 23, 39, 59, 1, 21, 53, 22, 17, 30, 37, 40, 56, 38, 6, 52, 20, 18, 29, 39, 27, 47, 55, 27, 37, 20, 49, 28, 51, 30, 36, 46, 41, 51, 16, 10, 58, 28, 4, 27, 59, 22, 26, 36, 51, 20, 17, 24, 44, 52, 43, 24, 41, 48, 32, 57, 46, 49, 35, 39, 59, 26, 25, 33, 59, 12, 1, 31, 27, 28, 25, 1, 8, 60, 39, 15, 23, 10, 22, 41, 11, 50, 31, 52, 42, 18, 41, 19, 17, 15, 45, 18, 32, 18, 9, 30, 28, 48, 32, 59, 5, 37, 29, 33, 11, 40, 29, 33, 26, 43, 13, 6, 36, 3, 10, 32, 6, 36, 30, 51, 51, 42, 31, 40, 43, 9, 26, 25, 58, 5, 14, 6, 4, 3, 59, 53, 23, 19, 18, 54, 25, 20, 49, 33, 32, 49]",Fight with friend,I am happy today!,"{'Entertainment': 69, 'Education': 90, 'Social Media': 117, 'Others': 92}",False,False,5,False
cbbbcb80-6eca-40c8-93cc-1125b14a0c54,"[37, 7, 36, 40, 23, 40, 58, 2, 50, 60, 26, 45, 20, 35, 36, 14, 55, 1, 48, 22, 29, 34, 1, 53, 43, 44, 47, 40, 50, 48, 46, 39, 24, 37, 9, 48, 24, 46, 43, 12, 22, 40, 16, 25, 16, 10, 2, 59, 56, 20, 28, 42, 60, 32, 39, 45, 57, 5, 26, 60, 12, 43, 27, 60, 4, 37, 59, 26, 51, 48, 35, 35, 56, 34, 12, 53, 45, 26, 21, 15, 53, 1, 49, 1, 53, 39, 27, 33, 25, 39, 42, 1, 53, 13, 47, 8, 29, 1, 4, 14, 6, 11, 33, 38, 29, 34, 15, 7, 44, 3, 29, 46, 38, 13, 17, 30, 38, 42, 10, 50, 7, 58, 45, 6, 23, 6, 48, 54, 18, 52, 21, 58, 2, 55, 48, 11, 22, 29, 9, 49, 53, 54, 4, 54, 4, 59, 40, 14, 7, 29, 60, 35, 10, 3, 46, 0, 4, 5, 36, 56, 28, 1, 26, 50, 26, 41, 53, 28]",Parental warning,I feel stressed after the test.,"{'Entertainment': 170, 'Education': 124, 'Social Media': 18, 'Others': 88}",True,False,2,True
f08ef771-d37c-4fb9-b7b8-ef80616cdae6,"[47, 28, 56, 54, 34, 40, 58, 11, 29, 2, 16, 53, 31, 12, 16, 31, 0, 20, 58, 11, 45, 38, 14, 15, 38, 19, 13, 39, 54, 2, 21, 19, 51, 31, 20, 49, 53, 38, 39, 14, 9, 30, 59, 41, 21, 0, 0, 44, 48, 25, 55, 9, 58, 20, 31, 22, 10, 53, 58, 12, 13, 36, 2, 25, 51, 4, 49, 21, 19, 52, 44, 25, 19, 18, 12, 30, 39, 57, 8, 1, 27, 19, 24, 59, 50, 30, 51, 49, 45, 14, 11, 20, 40, 48, 60, 37, 48, 43, 17, 36, 29, 45, 50, 23, 58, 2, 7, 17, 47, 58, 28, 23, 58, 49, 9, 10, 22, 8, 52, 54, 3, 30, 50, 48, 51, 4, 37, 49, 54, 56, 30, 2, 26, 8, 58, 9, 31, 14, 24, 1, 5, 33, 54, 46, 21, 40, 35, 46, 7, 33, 9, 48, 27, 29, 42, 54, 9, 49, 25, 51, 60, 3, 35, 46, 4, 26, 52, 35]",Fight with friend,I am happy today!,"{'Entertainment': 104, 'Education': 85, 'Social Media': 149, 'Others': 88}",False,True,5,True
af35bdf7-1a66-4b58-9699-63df8bdeb816,"[24, 1, 27, 10, 0, 28, 59, 48, 1, 43, 59, 36, 47, 59, 25, 43, 49, 43, 25, 51, 57, 9, 18, 52, 19, 8, 56, 47, 11, 37, 37, 5, 52, 32, 13, 16, 31, 42, 39, 6, 2, 6, 53, 20, 46, 34, 9, 15, 13, 58, 7, 49, 19, 8, 59, 4, 44, 54, 51, 9, 21, 0, 35, 42, 31, 23, 43, 53, 60, 16, 55, 18, 17, 49, 14, 41, 33, 43, 60, 23, 32, 41, 41, 59, 10, 40, 24, 13, 28, 51, 1, 14, 40, 14, 26, 41, 4, 0, 52, 13, 34, 39, 58, 31, 24, 30, 13, 19, 15, 8, 52, 5, 41, 9, 7, 27, 40, 14, 8, 45, 55, 4, 0, 45, 48, 16, 42, 16, 39, 0, 32, 59, 4, 31, 7, 26, 40, 28, 2, 46, 18, 54, 58, 32, 33, 55, 59, 24, 17, 23, 2, 28, 5, 4, 12, 57, 4, 56, 46, 14, 37, 11, 11, 54, 19, 32, 48, 31]",None,Angry at my sibling.,"{'Entertainment': 136, 'Education': 12, 'Social Media': 162, 'Others': 145}",True,True,2,False
55c9daee-2681-46f1-9361-d9717bae6180,"[28, 13, 30, 57, 40, 3, 32, 51, 39, 57, 10, 32, 16, 2, 58, 18, 0, 58, 4, 45, 1, 36, 4, 8, 7, 41, 52, 46, 43, 33, 35, 6, 40, 32, 59, 57, 18, 1, 16, 31, 0, 0, 31, 42, 46, 60, 56, 15, 40, 20, 30, 44, 60, 25, 18, 14, 14, 50, 15, 49, 16, 56, 24, 16, 26, 10, 33, 13, 9, 24, 3, 12, 59, 8, 54, 31, 51, 2, 1, 36, 55, 37, 57, 30, 19, 22, 40, 51, 26, 4, 21, 60, 51, 37, 0, 7, 31, 36, 28, 29, 31, 45, 24, 12, 45, 14, 17, 24, 9, 14, 46, 28, 35, 21, 26, 7, 51, 33, 49, 26, 32, 26, 28, 21, 21, 14, 24, 8, 25, 25, 26, 46, 27, 58, 28, 35, 32, 34, 40, 28, 25, 12, 4, 46, 11, 23, 29, 23, 37, 22, 34, 14, 41, 36, 46, 6, 57, 19, 42, 56, 32, 34, 43, 21, 26, 53, 21, 50]",Boredom,I feel stressed after the test.,"{'Entertainment': 177, 'Education': 68, 'Social Media': 74, 'Others': 103}",False,False,4,False
ca4a0937-bfcb-4a7c-ad8e-f8d3afb5ca20,"[24, 13, 49, 19, 30, 51, 54, 46, 18, 34, 24, 54, 21, 14, 29, 39, 49, 51, 8, 59, 34, 25, 1, 60, 2, 45, 35, 20, 12, 1, 60, 17, 45, 42, 34, 5, 1, 20, 2, 43, 17, 32, 36, 44, 57, 51, 19, 3, 20, 6, 11, 40, 47, 48, 38, 55, 23, 9, 24, 40, 29, 46, 19, 41, 6, 4, 58, 7, 54, 41, 40, 51, 35, 20, 28, 38, 11, 35, 3, 40, 10, 11, 12, 36, 1, 60, 20, 17, 36, 31, 50, 49, 53, 2, 39, 35, 40, 59, 11, 7, 37, 2, 17, 1, 27, 39, 50, 0, 6, 33, 7, 1, 42, 9, 60, 45, 53, 29, 15, 10, 24, 6, 30, 33, 27, 55, 22, 48, 3, 22, 6, 38, 21, 35, 41, 4, 16, 30, 42, 20, 52, 0, 1, 17, 18, 25, 50, 29, 44, 39, 8, 43, 0, 35, 10, 59, 27, 50, 34, 43, 44, 30, 25, 7, 58, 9, 55, 11]",Exam,I'm bored and don't know what to do.,"{'Entertainment': 97, 'Education': 51, 'Social Media': 59, 'Others': 176}",False,True,1,False
